이름,부서,연봉(만원),만족도,근속연수
김민준A,인사팀,323.0,2.0,16
이서연A,인사팀,325.0,3.2,17
박지훈A,마케팅팀,426.0,2.1,2
최수아A,인사팀,,4.8,3
정도윤A,마케팅팀,380.0,3.4,3
강지우A,인사팀,482.0,2.7,3
조서준A,재무팀,292.0,4.0,8
윤하은A,디자인팀,248.0,,4
장민서A,인사팀,331.0,1.4,8
임유진A,인사팀,500.0,3.0,20
한현우A,영업팀,246.0,2.7,20
오채원A,영업팀,342.0,2.6,14
홍승현A,,473.0,1.2,19
서지아A,인사팀,456.0,2.5,17
신태양A,개발팀,355.0,4.4,9
권나연A,마케팅팀,538.0,3.6,11
황민재A,마케팅팀,334.0,3.3,9
문소희A,디자인팀,,4.8,5
양준호A,재무팀,198.0,3.6,10
백아린A,디자인팀,452.0,2.8,11
송현준A,영업팀,405.0,2.5,1
전가은A,디자인팀,356.0,4.8,20
허성민A,인사팀,311.0,2.3,4
남보라A,영업팀,367.0,4.4,18
유태현A,마케팅팀,300.0,3.8,17
안하늘A,개발팀,322.0,,5
배수민A,개발팀,379.0,4.2,3
노준석A,마케팅팀,397.0,2.1,12
차지현A,개발팀,394.0,4.2,6
류민호A,디자인팀,293.0,5.0,18
김민준B,재무팀,207.0,4.1,10
이서연B,인사팀,252.0,2.4,17
박지훈B,영업팀,474.0,4.0,18
최수아B,개발팀,315.0,1.4,4
정도윤B,마케팅팀,351.0,4.3,9
강지우B,영업팀,,2.3,4
조서준B,재무팀,331.0,1.0,18
윤하은B,마케팅팀,418.0,4.6,9
장민서B,개발팀,328.0,4.8,20
임유진B,마케팅팀,301.0,4.8,11
한현우B,,503.0,2.8,9
오채원B,인사팀,435.0,2.2,16
홍승현B,개발팀,446.0,4.0,2
서지아B,영업팀,254.0,4.2,14
신태양B,개발팀,294.0,3.2,2
권나연B,영업팀,349.0,2.8,11
황민재B,마케팅팀,325.0,1.5,9
문소희B,마케팅팀,414.0,1.6,15
양준호B,인사팀,399.0,1.4,14
백아린B,인사팀,459.0,1.3,1
송현준B,영업팀,315.0,,3
전가은B,재무팀,366.0,3.8,5
허성민B,인사팀,442.0,4.8,2
남보라B,개발팀,312.0,4.9,19
유태현B,인사팀,297.0,1.3,5
안하늘B,디자인팀,459.0,4.1,5
배수민B,영업팀,187.0,4.6,10
노준석B,개발팀,476.0,1.4,2
차지현B,개발팀,326.0,2.9,7
류민호B,재무팀,350.0,1.2,8
김민준C,재무팀,452.0,,4
이서연C,개발팀,412.0,4.8,18
박지훈C,디자인팀,234.0,4.5,20
최수아C,재무팀,282.0,1.9,5
정도윤C,마케팅팀,356.0,5.0,6
강지우C,마케팅팀,429.0,1.3,14
조서준C,영업팀,388.0,3.1,6
윤하은C,재무팀,354.0,3.5,11
장민서C,디자인팀,315.0,3.5,8
임유진C,개발팀,499.0,3.3,6
한현우C,재무팀,341.0,3.5,4
오채원C,디자인팀,428.0,2.1,2
홍승현C,디자인팀,337.0,2.4,8
서지아C,마케팅팀,242.0,3.3,15
신태양C,개발팀,197.0,4.3,10
권나연C,마케팅팀,379.0,3.7,8
황민재C,영업팀,409.0,2.7,7
문소희C,디자인팀,468.0,4.7,11
양준호C,개발팀,344.0,4.2,3
백아린C,개발팀,327.0,4.9,12
