이름,나이,점수,지역,등록일
김민준,48.0,86.3,경기,2023-01-13
이서연,,77.1,인천,2023-05-06
박지훈,38.0,,대구,2023-03-13
최수아,55.0,74.6,경기,2023-12-13
정도윤,43.0,78.1,경남,2023-02-14
강지우,43.0,120.0,충남,2023-08-05
조서준,49.0,77.4,서울,2023-01-16
윤하은,40.0,77.8,경기,2023-04-22
장민서,52.0,83.9,대구,2023-09-16
임유진,44.0,66.7,충남,2023-01-14
한현우,46.0,73.9,경남,2023-04-12
오채원,47.0,84.5,경남,2023-08-03
홍승현,35.0,80.0,대구,2023-08-18
서지아,22.0,80.7,충남,2023-05-23
신태양,26.0,77.2,서울,2023-03-23
권나연,,89.6,대전,2023-06-24
황민재,39.0,88.2,인천,2023-03-21
문소희,27.0,73.2,대구,2023-06-22
양준호,54.0,80.2,경기,2023-02-17
백아린,23.0,85.1,대전,2023-02-19
송현준,21.0,,광주,2023-06-26
전가은,23.0,79.2,충남,2023-05-16
허성민,48.0,87.9,서울,2023-08-24
남보라,27.0,83.4,경남,2023-03-05
유태현,33.0,73.9,대전,2023-02-10
안하늘,37.0,69.3,경남,2023-05-31
배수민,43.0,71.2,충남,2023-07-05
노준석,48.0,75.0,충남,2023-04-09
차지현,34.0,67.0,경기,2023-01-24
류민호,27.0,71.1,대구,2023-05-29
김민준2,43.0,89.4,경기,2023-04-30
이서연2,24.0,87.4,경기,2023-07-14
박지훈2,47.0,84.7,인천,2023-08-21
최수아2,,89.8,광주,2023-03-25
정도윤2,52.0,80.6,광주,2023-07-01
강지우2,43.0,78.7,대구,2023-12-10
조서준2,54.0,69.4,인천,2023-12-26
윤하은2,54.0,87.1,경기,2023-11-08
장민서2,20.0,55.0,부산,2023-10-01
임유진2,22.0,81.4,대구,2023-03-25
한현우2,20.0,74.5,경북,2023-07-14
오채원2,33.0,88.3,인천,2023-11-24
홍승현2,46.0,61.0,경남,2023-04-23
서지아2,32.0,88.6,광주,2023-01-29
신태양2,51.0,70.6,대구,2023-01-17
권나연2,51.0,,광주,2023-07-25
황민재2,23.0,80.2,인천,2023-02-03
문소희2,34.0,84.9,대구,2023-10-18
양준호2,48.0,75.5,광주,2023-04-19
백아린2,21.0,78.0,경북,2023-07-22
송현준2,25.0,70.1,경북,2023-03-15
전가은2,39.0,80.2,인천,2023-03-13
허성민2,49.0,79.2,대구,2023-10-15
남보라2,47.0,88.0,경남,2023-05-15
유태현2,44.0,76.4,충남,2023-08-08
안하늘2,46.0,79.4,충남,2023-07-24
배수민2,32.0,60.8,광주,2023-04-23
노준석2,52.0,84.8,부산,2023-09-18
차지현2,43.0,80.7,경북,2023-02-16
류민호2,51.0,85.2,서울,2023-02-26
